@relation Train

@attribute X numeric
@attribute Y numeric
@attribute Z numeric
@attribute class {0,1,2}

@data
-0.426087,-0.848757,-0.064251,2
1.091841,-0.095853,-0.032608,2
0.032025,-1.003723,0.078981,0
0.01855,0.031882,-0.999476,0
-0.785553,0.610718,0.038513,0
-0.22583,-0.999921,0.163863,2
-0.813721,0.605377,0.047272,1
-0.785828,0.61142,0.037415,0
0.021669,0.032777,-0.998529,0
0.033703,-1.002516,0.082642,0
0.005005,1.109314,0.137024,2
0.017631,0.032077,-1.000483,0
0.017739,0.032864,-0.996634,0
-0.786499,0.610382,0.036804,0
-0.007501,-0.001301,-1.019136,0
0.018172,0.032705,-0.997791,0
-0.352147,-0.884695,0.060921,2
-0.786621,0.610962,0.038544,0
0.033489,-1.00324,0.082364,0
0.018803,0.030517,-0.998401,0
0.020318,0.033076,-0.998685,0
0.018955,0.030995,-0.999366,0
0.038975,-1.008373,0.127032,1
0.063193,-0.986744,-0.003501,1
-0.808044,0.596802,0.043823,1
0.917526,-0.18734,0.086154,2
-0.830839,-0.535244,0.023296,2
0.020535,0.032834,-0.998779,0
-0.751258,-0.667992,0.015276,2
1.228322,0.033334,0.060701,2
0.019459,0.032997,-0.998143,0
0.02191,0.033485,-0.998638,0
0.006557,-1.03591,0.164941,1
-0.355643,-0.905728,0.146172,2
0.01938,0.031161,-0.998204,0
0.060837,-0.990268,-0.003756,1
-0.219819,-0.987787,0.062313,2
-0.019724,-0.059404,-1.062705,1
0.033152,-1.003506,0.077421,0
0.06196,-0.995483,-0.01914,0
0.032883,-1.002451,0.07929,0
-0.001007,1.022034,0.020813,2
0.045604,-0.991322,0.028713,1
-0.191126,-0.973555,0.05137,2
-0.785522,0.610321,0.038513,0
-0.787292,0.610992,0.039978,0
0.03524,-1.003319,0.081989,0
0.018708,0.030463,-0.997185,0
-0.785828,0.610779,0.037842,0
-0.78653,0.610352,0.038269,0
0.022176,0.031061,-0.999893,0
0.028561,-1.014804,0.084451,1
-0.86389,-0.510385,0.034148,2
0.001333,-0.014528,-1.078013,1
0.986802,-0.136163,0.110105,2
0.019869,0.0316,-0.998559,0
0.019247,0.032342,-0.997577,0
0.971433,-0.272267,0.110154,2
0.040102,0.054728,-1.145598,0
-0.786224,0.611145,0.03714,0
-0.786133,0.609924,0.038086,0
0.025375,0.030359,-1.001955,0
-0.762848,0.606659,0.036896,1
0.020157,0.030082,-0.99913,0
0.019008,0.032161,-0.999469,0
0.032825,-1.004062,0.083887,0
0.032498,-1.002257,0.081673,0
0.033456,-1.002902,0.082153,0
-0.788483,0.628662,0.048157,1
-0.785492,0.611481,0.035187,0
0.020994,0.033319,-0.999955,0
-0.786621,0.610535,0.03952,0
0.031888,-1.002696,0.082314,0
0.019952,0.033185,-0.999781,0
0.033102,-1.003092,0.079468,0
0.994536,-0.128563,0.124573,2
0.033777,-1.003026,0.079282,0
-0.123474,0.968536,0.099731,2
-0.776917,0.567841,0.039703,1
0.020692,0.031635,-0.996819,0
-0.838696,-0.550778,-0.109687,2
-0.768585,0.560883,0.037506,0
0.049194,1.102448,0.032257,2
-0.785645,0.611847,0.037567,0
-0.39382,-0.92059,0.028347,2
0.033166,-1.00391,0.079371,0
0.017745,0.097319,-1.085903,1
-0.786285,0.610535,0.040466,0
0.021157,0.031646,-0.998855,0
0.011809,-1.016361,0.159943,1
0.032935,-1.021163,0.087136,1
0.03917,-0.012677,-0.925891,0
0.033926,-1.003379,0.083307,0
0.021552,0.032365,-0.99948,0
0.033548,-1.002842,0.082214,0
0.033335,-1.001817,0.078011,0
-0.865205,-0.522233,0.030235,2
-0.918032,-0.555652,0.025169,2
-0.800751,0.561066,0.046356,0
0.019588,0.032629,-0.999701,0
0.034035,-1.002554,0.081542,0
0.022804,-1.009598,0.14666,0
0.020417,0.032129,-0.998791,0
-0.216679,-0.982075,0.106511,2
-0.786072,0.611176,0.036804,0
0.018095,0.031073,-0.998944,0
0.020632,0.032389,-0.999516,0
-0.78537,0.610474,0.038788,0
0.105652,0.990204,0.065674,2
0.019131,0.031871,-0.998651,0
0.057715,-0.979993,0.019572,0
0.044279,-0.988695,0.02477,1
-0.798279,0.593018,0.035583,1
0.021831,0.031935,-0.999303,0
0.019031,0.032847,-0.998483,0
0.033966,-1.002828,0.080076,0
0.067295,0.077035,-1.026145,1
0.019447,0.030556,-0.998579,0
-0.78537,0.609863,0.039215,0
0.018875,-1.016437,0.078326,1
